cat,y_2012,y_2013,y_2014,y_2015,y_2016
A10,184,138,162,192,182
A20,24019,27148,27663,28388,31630
A30,2828,3034,3237,3281,3859
A40,275,252,283,283,326
A50,2337,2054,1681,1865,2297
A60,61,82,71,76,60
A70,3966,4843,4945,5285,5813
A80,2064,2145,2346,2409,2960
B10,809,1084,1118,1058,1364
B20,8884,9418,9076,9501,10950
B30,9915,9670,9601,9764,11992
B40,29464,31191,27822,30101,36867
B50,5084,5988,6111,6559,7310
B60,8,6,7,9,6
C10,2605,3092,3220,3637,3333
C20,1052,1205,1169,1187,1135
C30,8072,8878,9370,10237,10203
C90,6,5,5,NaN,6
D10,5287,6208,6547,7820,8102
D20,19104,17859,15780,13331,11895
D30,1075,1029,885,926,1177
D40,14,23,9,16,11
E10,2671,2626,2413,2445,3227
E20,11299,13929,19986,21243,23992
F10,10,6,10,12,4
F20,216,197,196,172,272
F30,584,369,303,228,188
F90,144,165,142,154,106
