cat,location,y_2012,y_2013,y_2014,y_2015,y_2016
A10,res,53,61,70,63,73
A20,res,18786,19826,20686,21984,25510
A30,res,5689,6490,7394,7489,8546
A40,res,354,307,378,393,491
A50,res,201,196,251,247,354
A60,res,237,97,98,106,120
A70,res,5316,5992,6500,6980,7861
A80,res,829,854,872,1083,1244
B10,res,1037,1121,1148,1156,1242
B20,res,21624,20856,20130,20458,22081
B30,res,32329,30809,31158,33398,37077
B40,res,36499,35139,38078,42363,60318
B50,res,2578,3438,2516,2738,3897
B60,res,0,0,0,2,18
C10,res,1598,1962,1797,2090,1987
C20,res,1197,1230,1145,1204,1149
C30,res,3498,4082,4661,5654,6288
C90,res,0,2,4,3,3
D10,res,3085,3742,3781,4659,4815
D20,res,919,845,998,861,854
D30,res,860,876,1037,1311,1676
D40,res,15,20,22,16,29
E10,res,1309,1255,1395,1764,2345
E20,res,9578,13557,20399,24897,31262
F10,res,0,0,0,0,0
F20,res,4,2,7,3,2
F30,res,111,92,91,119,87
F90,res,157,110,161,98,119
A10,com,103,75,107,111,100
A20,com,11804,11945,11289,11051,11909
A30,com,1605,1914,1934,2168,2432
A40,com,219,225,198,215,210
A50,com,1896,1684,1474,1534,1950
A60,com,23,18,42,27,18
A70,com,1872,1785,2084,1966,1955
A80,com,2280,2339,2844,3041,3986
B10,com,1936,1990,1935,1897,2332
B20,com,16906,16085,14274,14541,14255
B30,com,2888,2772,2764,2790,2942
B40,com,37836,33642,36702,39640,59463
B50,com,2411,2848,2788,3570,3850
B60,com,2,10,1,3,3
C10,com,1368,1480,1750,1995,1994
C20,com,132,289,249,245,268
C30,com,9021,9965,11376,12599,13685
C90,com,3,6,7,239,1
D10,com,5024,5901,6622,7296,7837
D20,com,18133,16700,15710,12611,11883
D30,com,957,878,700,787,966
D40,com,3,10,12,18,8
E10,com,3153,3326,3522,5423,9655
E20,com,8016,10464,15197,15862,17016
F10,com,15,7,13,12,11
F20,com,403,385,418,406,629
F30,com,421,252,234,235,185
F90,com,205,181,202,278,106
A10,other,7,6,4,11,9
A20,other,4582,4452,4298,4736,5343
A30,other,684,676,892,996,1004
A40,other,66,67,48,80,53
A50,other,941,790,640,730,867
A60,other,23,31,35,46,48
A70,other,941,1103,1102,1151,1290
A80,other,240,251,247,374,424
B10,other,373,427,372,457,450
B20,other,7940,7015,6610,6466,6764
B30,other,12756,12019,11353,13287,14582
B40,other,50576,50061,43941,50207,56037
B50,other,14384,21499,20828,21620,24437
B60,other,4,4,30,2,0
C10,other,186,280,333,533,456
C20,other,46,108,83,160,95
C30,other,1252,1320,1570,2030,2465
C90,other,24,31,18,18,10
D10,other,925,1064,1219,1535,1680
D20,other,2554,2740,2597,2804,2624
D30,other,695,563,517,687,703
D40,other,31,269,23,140,12
E10,other,424,419,503,668,868
E20,other,996,1194,2985,3437,3614
F10,other,5,5,10,6,2
F20,other,10,20,34,54,42
F30,other,383,469,257,206,262
F90,other,201,39,56,58,145
